country,year,dem_ind,log_gdppc,log_pop,age_1,age_2,age_3,age_4,age_5,educ,age_median,code
Andorra,1960,,,,,,,,,,,1
Andorra,1965,,,,,,,,,,,1
Andorra,1970,0.5,,,,,,,,,,1
Andorra,1975,,,,,,,,,,,1
Andorra,1980,,,,,,,,,,,1
Andorra,1985,,,,,,,,,,,1
Andorra,1990,,,,,,,,,,,1
Andorra,1995,1,,,,,,,,,,1
Andorra,2000,1,,,,,,,,,,1
Afghanistan,1960,0.140000001,,,0.427271694,0.265505403,0.165538698,0.096638203,0.045046002,,18.60000038,2
Afghanistan,1965,0.230000004,,9.211938858,0.430020899,0.263801813,0.164627507,0.096190199,0.0453596,1.095000029,18.39999962,2
Afghanistan,1970,0.5,,9.316050529,0.433694303,0.261406004,0.163412005,0.0956861,0.045801502,0.907999992,18.29999924,2
Afghanistan,1975,0,,9.430038452,0.437342793,0.259669811,0.161713794,0.094968498,0.046305001,0.773000002,18.10000038,2
Afghanistan,1980,0,,9.549523354,0.437782586,0.260902792,0.160186395,0.094247803,0.046880402,0.726999998,18,2
Afghanistan,1985,0,,9.677213669,0.438748509,0.262799293,0.158089697,0.093332499,0.047029998,0.786000013,18,2
Afghanistan,1990,0,,9.667163849,0.439565301,0.264803708,0.1565018,0.092185996,0.046943199,0.866999984,17.89999962,2
Afghanistan,1995,0,,9.780492783,0.439814508,0.264946699,0.157112807,0.091238499,0.046887498,0.910000026,17.89999962,2
Afghanistan,2000,0,,9.995603561,0.437968403,0.26608029,0.158721894,0.090289302,0.046940099,1.126000047,18,2
Angola,1980,0,7.642972946,8.730205536,0.436237305,0.256182313,0.161790803,0.096815899,0.048973698,,18.20000076,3
Angola,1985,0,7.563511848,8.862483978,0.445800185,0.254682213,0.156782106,0.093927398,0.048808198,,17.70000076,3
Angola,1990,0,7.528482914,9.033364296,0.456079006,0.253042489,0.152307495,0.090613298,0.047957599,,17.20000076,3
Angola,1995,0.166666701,7.573770046,9.166389465,0.463333696,0.254041314,0.148806304,0.087035596,0.046783,,16.79999924,3
Angola,2000,0.166666701,7.132994175,9.336003304,0.467844307,0.257337391,0.145827606,0.083632298,0.045358401,,16.60000038,3
Albania,1960,0.200000003,,,0.391588092,0.268310398,0.154459804,0.100072503,0.0855693,,20.20000076,4
Albania,1965,0.180000007,,7.382123947,0.410924911,0.258845389,0.155183107,0.099937901,0.075108603,,19.70000076,4
Albania,1970,0,,7.53369379,0.429641485,0.247190997,0.157303393,0.097913302,0.0679508,,19,4
Albania,1975,0,,7.666689873,0.423760504,0.247427493,0.168849394,0.0935454,0.066417202,,18.79999924,4
Albania,1980,0,,7.78405714,0.399000406,0.267388612,0.167846695,0.097042903,0.068721399,,19.5,4
Albania,1985,0,,7.890207767,0.358398795,0.292555213,0.166853696,0.105499402,0.076692902,,21.29999924,4
Albania,1990,0,,7.991930008,0.345048994,0.294356197,0.171003699,0.114903703,0.074687399,,22.5,4
Albania,1995,0.666666687,,8.094683647,0.327560008,0.289577603,0.186873302,0.1175934,0.078395598,,23.79999924,4
Albania,2000,0.5,7.947575092,8.066207886,0.315855592,0.270643711,0.213814795,0.118053399,0.081632704,,25.10000038,4
United Arab Emirates,1980,0.333333313,,6.224557877,0.28373009,0.363095194,0.244047597,0.075396799,0.033730201,2.875999928,25.39999962,5
